[buoy_detector-3] /usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
[buoy_detector-3]   warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[buoy_detector-3] [INFO] [1771741074.319860271] [buoy_detector]: Buoy detector started: input=/points_filtered, output=/buoy_detections, eps=0.85m, min_samples=1
[buoy_detector-3] [INFO] [1771741074.336292348] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741074.430478606] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741074.538626814] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741074.656086082] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741074.769652018] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741074.894724689] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741075.004670880] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741075.115303486] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741075.237995762] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741075.345429166] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741075.457654429] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741075.569880588] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741075.668997082] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741075.783694648] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741075.916955481] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741076.000633697] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741076.130978514] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741076.273369719] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741076.403551804] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741076.503925378] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741076.616988746] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741076.734448393] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741076.836264693] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741076.932788170] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741077.046839319] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741077.154161095] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741077.279802024] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741077.403229836] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741077.530503233] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741077.655371083] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741077.806721481] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741077.942685412] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741078.035396393] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741078.152808385] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741078.292463904] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741078.419384666] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741078.537662191] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741078.649311215] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741078.760486446] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741078.883127928] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741079.011293706] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741079.132158068] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741079.258084709] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741079.360645024] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741079.468936337] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741079.604018570] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741079.704696415] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741079.863726455] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741079.948841568] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741080.083300139] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741080.178636517] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741080.316228525] [buoy_detector]: Detected 8 buoy(s)
[buoy_detector-3] [INFO] [1771741080.436459433] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741080.533835507] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741080.644279290] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741080.803246731] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741080.909477032] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741081.026049408] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741081.145223983] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741081.293658324] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741081.427493264] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741081.590046651] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741081.682792316] [buoy_detector]: Detected 16 buoy(s)
